Ticker
ORLY
REGN
TSCO
TXN
FOXA
QCOM
ATVI
GOOG
INTU
MAT
CHKP
HSIC
WDC
FAST
PCAR
SIRI
CMCSA
DLTR
MDLZ
PAYX
ADI
CTSH
GILD
SBAC
TRIP
AKAM
BIIB
CHTR
CSCO
DISH
GRMN
INTC
KLAC
SRCL
ADBE
AMAT
BIDU
EXPE
SBUX
ADP
CHRW
STX
ADSK
AVGO
MAR
VOD
WYNN
ALTR
EQIX
ISRG
MSFT
VRTX
EXPD
LBTYA
MNST
NFLX
EBAY
GOOGL
NTAP
NVDA
NXPI
ROST
AAPL
FFIV
ILMN
AMGN
AMZN
COST
MU
TSLA
