Ticker
AXP
SPG
UNP
UPS
MA
MO
SO
BEN
BK
HAL
HON
NEM
WFC
BAC
COP
DVN
JPM
SLB
WMT
XOM
AIG
KO
LVS
OXY
CVX
DOW
F
JNJ
LOW
PG
PM
BAX
DUK
GLW
TGT
MRK
MS
YUM
CVS
D
EXC
LLY
MET
PX
ABT
DHR
HPQ
KMB
BA
CAT
MDT
V
MCD
NKE
SCCO
DE
EMR
GE
ITW
PFE
PNC
DD
GD
GS
PEP
IBM
LMT
MMM
C
EMC
FCX
HD
GIS
PRU
T
ACN
BMY
DIS
FDX
VZ
CL
NOV
UNH
USB
APA
EOG
GM
TRV
