Ticker,Code,Name
FDX,GOOG/NYSE_FDX,FedEx Corp.
F,GOOG/NYSE_F,Ford Motor Co.
BEN,GOOG/NYSE_BEN,Franklin Resources Inc.
FCX,GOOG/NYSE_FCX,Freeport-McMoRan Copper & Gold Inc.
GD,GOOG/NYSE_GD,General Dynamics Corp.
GE,GOOG/NYSE_GE,General Electric Co.
GIS,GOOG/NYSE_GIS,General Mills Inc.
GM,GOOG/NYSE_GM,General Motors Co.
GS,GOOG/NYSE_GS,Goldman Sachs Group Inc.
HAL,GOOG/NYSE_HAL,Halliburton Co.
HPQ,GOOG/NYSE_HPQ,Hewlett-Packard Co.
HD,GOOG/NYSE_HD,Home Depot Inc.
HON,GOOG/NYSE_HON,Honeywell International Inc.
ITW,GOOG/NYSE_ITW,Illinois Tool Works Inc.
IBM,GOOG/NYSE_IBM,International Business Machines Corp.
JNJ,GOOG/NYSE_JNJ,Johnson & Johnson
JPM,GOOG/NYSE_JPM,JPMorgan Chase & Co.
KMB,GOOG/NYSE_KMB,Kimberly-Clark Corp.
LVS,GOOG/NYSE_LVS,Las Vegas Sands Corp.
LMT,GOOG/NYSE_LMT,Lockheed Martin Corp.
LOW,GOOG/NYSE_LOW,Lowe's Cos.
MA,GOOG/NYSE_MA,MasterCard Inc. Cl A
MCD,GOOG/NYSE_MCD,McDonald's Corp.
MDT,GOOG/NYSE_MDT,Medtronic Inc.
MRK,GOOG/NYSE_MRK,Merck & Co. Inc.
MET,GOOG/NYSE_MET,MetLife Inc.
MS,GOOG/NYSE_MS,Morgan Stanley
NOV,GOOG/NYSE_NOV,National Oilwell Varco Inc.
NEM,GOOG/NYSE_NEM,Newmont Mining Corp.
NKE,GOOG/NYSE_NKE,Nike Inc. Cl B
OXY,GOOG/NYSE_OXY,Occidental Petroleum Corp.
PEP,GOOG/NYSE_PEP,PepsiCo Inc.
PFE,GOOG/NYSE_PFE,Pfizer Inc.
PM,GOOG/NYSE_PM,Philip Morris International Inc.
PNC,GOOG/NYSE_PNC,PNC Financial Services Group Inc.
PX,GOOG/NYSE_PX,Praxair Inc.
PG,GOOG/NYSE_PG,Procter & Gamble Co.
PRU,GOOG/NYSE_PRU,Prudential Financial Inc.
SLB,GOOG/NYSE_SLB,Schlumberger Ltd.
SPG,GOOG/NYSE_SPG,Simon Property Group Inc.
SO,GOOG/NYSE_SO,Southern Co.
SCCO,GOOG/NYSE_SCCO,Southern Copper Corp.
TGT,GOOG/NYSE_TGT,Target Corp.
TRV,GOOG/NYSE_TRV,Travelers Cos. Inc.
USB,GOOG/NYSE_USB,U.S. Bancorp
UNP,GOOG/NYSE_UNP,Union Pacific Corp.
UPS,GOOG/NYSE_UPS,United Parcel Service Inc. Cl B
UNH,GOOG/NYSE_UNH,UnitedHealth Group Inc.
VZ,GOOG/NYSE_VZ,Verizon Communications Inc.
V,GOOG/NYSE_V,VISA Inc. Cl A
WMT,GOOG/NYSE_WMT,Wal-Mart Stores Inc.
DIS,GOOG/NYSE_DIS,Walt Disney Co.
WFC,GOOG/NYSE_WFC,Wells Fargo & Co.
YUM,GOOG/NYSE_YUM,Yum! Brands Inc.
